Node,Centrality
record,0.00011934193802132329
date,0.0010412700459669353
206,0.00042091385177386555
##9,0.0015414798355850073
10,0.004014403674118313
07,0.00028262505941324445
z,0.0008761198377133933
##ol,0.0018792563582990993
##lm,4.160476289486715e-05
##an,0.0009532033280899134
e,0.010137801580599215
##me,0.00014241038341704617
##r,0.011246140734834096
##ge,0.00014285117226098485
##nc,7.701635078105669e-05
##y,0.01077233277432359
de,0.0020184593655975867
##p,0.009534862422833282
##t,0.022780386236608188
vi,0.00024071798152821197
##si,0.00048424934994474513
ma,0.001589373238111306
##ss,0.00013310604492313799
##e,0.013855222224746607
ram,2.4254352031852672e-05
##on,0.0014343102814997216
##a,0.007362444712007558
44,4.6279303864047716e-05
##6,0.0019031201546737238
90,0.0015393398127631418
33,0.0003939470991759537
6,0.003615612359386184
d,0.0156860907634694
##at,0.00010659719953787109
69,0.00018151983397391995
t,0.017020598934262984
##im,0.00018911876652836327
of,0.04499480902253078
##ic,0.0056328786596647595
##ta,0.0004940696048777723
##ti,0.0007665647675152825
1,0.015717470318039
p,0.028704369296586194
m,0.013330705888201805
pr,0.0006885197713391851
##es,0.0031393388725824054
##en,0.0014914237458699977
##ng,0.0009100270125626477
co,0.009143684921343608
##mp,0.0005573478961654323
##la,0.0013458241181712812
##in,0.00597555913178962
and,0.08943249180073347
h,0.022228580713507962
##is,0.004254121980740957
##to,0.0004089747068425843
this,0.003101593670044884
patient,0.0020365234503903554
is,0.027256813404237
a,0.03882854031679201
63,6.366294977631734e-05
year,0.0004072911217884024
old,0.0006168175165725064
female,0.00044083664598214956
who,0.0008989672139482878
presents,0.00031210665995982055
to,0.05221463256586202
the,0.03332046504340834
##oll,8.632641568505615e-06
##man,0.00018553491174510729
community,0.00027103913051124856
clinic,0.0008638757395898175
emergency,4.5657580575371666e-05
department,0.0001776896806531246
from,0.00648306504500107
home,0.0011778980571496777
after,0.0019689651244922963
was,0.009978612978282956
found,6.342618652334902e-05
down,0.00027825589081752894
by,0.008598601630997002
her,0.009896835088444342
daughter,0.00043052566231262745
inside,0.0
for,0.03170019693234319
an,0.00764327402016437
un,0.0010501821846830557
##sp,0.0005128866569880201
##ec,0.0008633169000304987
##ified,7.902937232298347e-07
amount,3.2911943289213976e-05
time,0.0015050740369029713
para,0.00031920002302022457
##med,2.367373048783612e-06
##ics,6.942589897421872e-05
police,1.8194007303231709e-07
were,0.0012981466989049647
called,3.911899622522802e-05
scene,0.0
able,2.2060045773585902e-05
force,9.092192259203169e-07
open,2.290850804896407e-05
door,6.863214585072876e-07
