Node,Centrality
record,0.36054109824601627
date,0.4189423205008659
206,0.38636363636363635
##9,0.40585882049296684
10,0.4637959003096888
07,0.4
z,0.41625306068426976
##ol,0.43747391848657674
##lm,0.3746500684972303
##an,0.3882716049382716
e,0.4737159210724507
##me,0.38562932990006743
##r,0.4707026865224875
##ge,0.3829994519880655
##nc,0.3794642857142857
##y,0.473608914991341
de,0.42093287827076226
##p,0.4720096052829056
##t,0.49014260110652225
vi,0.39099894324609935
##si,0.37229949689257175
ma,0.4336734693877551
##ss,0.3885354252887763
##e,0.4752190994258084
ram,0.37834586466165415
##on,0.43768700855890336
##a,0.47357325703960246
44,0.38492136344164984
##6,0.4223744292237443
90,0.4336136770991314
33,0.40554480980012897
6,0.46451517613174803
d,0.48839195589719697
##at,0.383232803265704
69,0.4033085406514491
t,0.4814758113900796
##im,0.3628078675664763
of,0.4961741737004023
##ic,0.4390618455954209
##ta,0.3962703962703963
##ti,0.3992890243128293
1,0.4920212765957447
p,0.5026772156956765
m,0.46672108035913035
pr,0.4210174029451138
##es,0.45447976878612717
##en,0.4304091966607363
##ng,0.4102530654839551
co,0.4644808743169399
##mp,0.393567763734201
##la,0.3978242995382961
##in,0.46393273344151054
and,0.5348184678173624
h,0.49441911649111775
##is,0.4559953603015804
##to,0.3767369429803546
this,0.4378088675436765
patient,0.42110196157193547
is,0.48706829797119405
a,0.5044914982354828
63,0.40271464242269034
year,0.4050225370251127
old,0.4062520183426984
female,0.3856056890632663
who,0.3902469288993672
presents,0.38363015369602343
to,0.502998800479808
the,0.4968012005370824
##oll,0.3345566725174193
##man,0.36902317395130535
community,0.3171801724572639
clinic,0.3954979879275654
emergency,0.3651457099732962
department,0.3876016761153562
from,0.4294394756605448
home,0.4241402562373567
after,0.4195570971184632
was,0.46040111257502564
found,0.39351851851851855
down,0.40096895518582265
by,0.44711401762866076
her,0.46762322503903053
daughter,0.39612066251023365
inside,0.3204768940744892
for,0.4897609592774274
an,0.46222810111699003
un,0.41496239609447155
##sp,0.3746723850369311
##ec,0.3714640051969527
##ified,0.30545843045843046
amount,0.35041782729805016
time,0.44041450777202074
para,0.38660110633066996
##med,0.3101883814971891
##ics,0.37061041715767146
police,0.35702122828924965
were,0.40473585998327005
called,0.365039753931867
scene,0.33192612137203165
able,0.37329376854599405
force,0.3348772826492041
open,0.3680945692883895
door,0.35883393234069255
unconscious,0.329820145771066
on,0.4875968992248062
floor,0.37675950883498055
having,0.3701959861102937
generalized,0.36576147002384135
ton,0.320232155584971
c,0.48162327718223585
##lon,0.3766692616324331
seizure,0.4088929337580446
in,0.509641873278237
##tub,0.3436970657341129
##ated,0.37642130460801915
given,0.4365024288688411
4,0.4716203044162855
mg,0.43061545834189086
at,0.4877481389578164
##iva,0.37004353453347455
##n,0.48552682362022387
prior,0.41697050049718265
arrival,0.37214530824754466
with,0.49936487773896476
noted,0.4167494865169284
be,0.4082294911734164
coma,0.3597780701252645
##tos,0.3486309721760337
clearly,0.37
acute,0.4025342378087802
distress,0.39317414676834606
has,0.4474957313602732
history,0.4461625762519506
diabetes,0.42728075538346577
me,0.46222810111699003
##lli,0.33420115828064395
##tus,0.39280584525073375
she,0.43412243771136727
had,0.4303503010399562
past,0.42479908151549944
apparently,0.3634367596926099
secondary,0.3737817922510102
##po,0.39722134512156615
##gly,0.31365313653136534
##ce,0.39842908722366505
##mia,0.4369572768322334
also,0.4157578161147465
high,0.408813206811387
blood,0.4245410367170626
pressure,0.41019955654101997
di,0.4636933284187247
##lt,0.38843944914469214
##ia,0.43058598028477546
##ze,0.34364073426573427
##m,0.46297659355218607
