Node,Centrality
record,0.0010537407797681772
date,0.007165437302423605
207,0.009272918861959958
##1,0.01707060063224447
11,0.009905163329820865
20,0.01243414120126449
pat,0.006954689146469969
##ient,0.005479452054794521
name,0.0027397260273972603
l,0.03962065331928346
##il,0.0021074815595363543
##l,0.04193888303477345
##y,0.03371970495258167
la,0.010958904109589041
##r,0.03266596417281349
mr,0.02486828240252898
##n,0.02992623814541623
215,0.0018967334035827187
##5,0.010748155953635406
##9,0.013066385669125396
##41,0.001475237091675448
di,0.025500526870389884
##ct,0.008640674394099053
##ated,0.00505795574288725
##re,0.005900948366701792
##ra,0.005268703898840886
##el,0.004636459430979979
sa,0.0027397260273972603
##nt,0.008429926238145417
##ia,0.01517386722866175
##g,0.023603793466807167
##o,0.01791359325605901
##os,0.00969441517386723
##is,0.01707060063224447
b,0.02866174920969442
##ila,0.0027397260273972603
##teral,0.002528977871443625
right,0.03477344573234984
greater,0.0012644889357218126
left,0.032455216016859856
car,0.006743940990516333
##pal,0.0008429926238145417
tunnel,0.0008429926238145417
syndrome,0.0021074815595363543
h,0.044257112750263436
##to,0.004425711275026343
first,0.00505795574288725
office,0.006322444678609062
visit,0.009483667017913594
77,0.002950474183350896
year,0.011801896733403584
old,0.005900948366701792
hand,0.004636459430979979
dominant,0.0008429926238145417
founder,0.00042149631190727084
bed,0.003161222339304531
bath,0.00042149631190727084
beyond,0.0012644889357218126
comes,0.005479452054794521
evaluation,0.011169652265542677
wrist,0.0012644889357218126
pain,0.028451001053740783
patient,0.04151738672286618
reports,0.01243414120126449
long,0.006111696522655427
##standing,0.0018967334035827187
history,0.028240252897787147
four,0.004636459430979979
months,0.010326659641728136
worse,0.005268703898840886
##ning,0.0016859852476290833
par,0.0018967334035827187
##est,0.006322444678609062
##hesia,0.0012644889357218126
##s,0.08851422550052687
numb,0.0012644889357218126
##ness,0.01201264488935722
night,0.004004214963119073
occasionally,0.0037934668071654375
wake,0.00042149631190727084
sleep,0.002528977871443625
also,0.023182297154899896
bother,0.0010537407797681772
prolonged,0.002528977871443625
activity,0.0033719704952581667
recently,0.008640674394099053
past,0.016227608008429928
noting,0.00042149631190727084
difficulty,0.006322444678609062
key,0.0008429926238145417
pinch,0.00042149631190727084
grasp,0.00042149631190727084
fine,0.0027397260273972603
motor,0.002528977871443625
function,0.005690200210748156
previous,0.006533192834562698
consisted,0.00042149631190727084
c,0.04446786090621707
##er,0.020653319283456272
##vic,0.0012644889357218126
##al,0.02444678609062171
spine,0.0018967334035827187
##i,0.019178082191780823
well,0.039409905163329824
e,0.03561643835616438
##mg,0.0023182297154899895
nerve,0.0010537407797681772
conduct,0.0012644889357218126
##ion,0.019599578503688094
studies,0.004636459430979979
demonstrating,0.0008429926238145417
findings,0.004425711275026343
significant,0.01433087460484721
severe,0.009062170706006322
compression,0.0016859852476290833
ne,0.01285563751317176
##uro,0.002950474183350896
##pathy,0.0077976817702845105
median,0.0008429926238145417
level,0.005900948366701792
potential,0.0016859852476290833
surgery,0.014541622760800843
release,0.0012644889357218126
pa,0.008851422550052687
##st,0.006954689146469969
##di,0.006954689146469969
##ca,0.0033719704952581667
g,0.03140147523709168
##lu,0.0010537407797681772
##cos,0.0010537407797681772
##e,0.026343519494204427
##ler,0.0035827186512118023
##ance,0.0006322444678609063
##va,0.00505795574288725
status,0.006743940990516333
post,0.007376185458377239
ca,0.014963119072708114
##b,0.015806111696522657
##yper,0.0035827186512118023
##tens,0.0012644889357218126
ge,0.0023182297154899895
##ti,0.005900948366701792
##on,0.005900948366701792
lo,0.004636459430979979
##press,0.0016859852476290833
##or,0.01201264488935722
z,0.004004214963119073
##oc,0.0101159114857745
##cot,0.00042149631190727084
##rin,0.006111696522655427
##ffe,0.00042149631190727084
##x,0.0166491043203372
n,0.028451001053740783
##ex,0.0021074815595363543
##ium,0.003161222339304531
al,0.0101159114857745
##le,0.0101159114857745
##gi,0.0035827186512118023
##es,0.016016859852476292
none,0.004214963119072709
p,0.06322444678609063
##h,0.020653319283456272
##si,0.002950474183350896
##am,0.005690200210748156
##in,0.024657534246575345
##at,0.004425711275026343
examination,0.010537407797681772
today,0.03161222339304531
pleasant,0.002528977871443625
appearing,0.0027397260273972603
apparent,0.0023182297154899895
distress,0.004636459430979979
demonstrates,0.0012644889357218126
marked,0.0037934668071654375
##ar,0.005690200210748156
##rop,0.0037934668071654375
##hy,0.004004214963119073
active,0.005900948366701792
##ductor,0.00042149631190727084
poll,0.00042149631190727084
##ici,0.0023182297154899895
br,0.008640674394099053
##ev,0.00042149631190727084
weak,0.0012644889357218126
op,0.0037934668071654375
##po,0.005479452054794521
##nen,0.00042149631190727084
positive,0.007165437302423605
tin,0.0012644889357218126
ph,0.0023182297154899895
##ale,0.00042149631190727084
test,0.009905163329820865
inter,0.005268703898840886
##oss,0.0008429926238145417
##ei,0.0023182297154899895
ex,0.017492096944151738
##ors,0.0023182297154899895
full,0.006743940990516333
sen,0.0018967334035827187
##sation,0.0006322444678609063
intact,0.00969441517386723
throughout,0.0035827186512118023
09,0.006111696522655427
performed,0.007586933614330875
f,0.01938883034773446
##ols,0.00042149631190727084
##om,0.0037934668071654375
con,0.011801896733403584
##vale,0.00042149631190727084
##scent,0.0006322444678609063
hospital,0.014752370916754479
wrists,0.0012644889357218126
##mp,0.008219178082191782
##ss,0.004847207586933615
seen,0.007586933614330875
examined,0.0018967334035827187
dr,0.02866174920969442
santiago,0.0008429926238145417
time,0.028240252897787147
feel,0.0033719704952581667
larry,0.0016859852476290833
indeed,0.0033719704952581667
bilateral,0.010326659641728136
given,0.016227608008429928
amount,0.0010537407797681772
weakness,0.006322444678609062
wasting,0.00042149631190727084
recommended,0.0021074815595363543
proceeding,0.0012644889357218126
possible,0.005479452054794521
##ts,0.0027397260273972603
ring,0.0008429926238145417
finger,0.0016859852476290833
thumb,0.0008429926238145417
tend,0.00042149631190727084
transfer,0.0008429926238145417
discussed,0.005690200210748156
risks,0.0008429926238145417
benefits,0.0012644889357218126
procedure,0.002950474183350896
agreement,0.0008429926238145417
plan,0.011591148577449948
try,0.0023182297154899895
schedule,0.001475237091675448
proceed,0.0021074815595363543
point,0.009062170706006322
near,0.0018967334035827187
future,0.004214963119072709
filled,0.0008429926238145417
physical,0.008008429926238146
surgical,0.004636459430979979
consent,0.0008429926238145417
form,0.0012644889357218126
andre,0.00042149631190727084
israel,0.00042149631190727084
cc,0.005900948366701792
stephen,0.0010537407797681772
##cc,0.006111696522655427
##ull,0.0012644889357218126
##ough,0.0008429926238145417
dd,0.00505795574288725
##t,0.041306638566912544
22,0.0033719704952581667
ch,0.020442571127502637
1830,0.00042149631190727084
##6,0.01433087460484721
00,0.0016859852476290833
##7,0.0166491043203372
213,0.0010537407797681772
##2,0.02297154899894626
28,0.008640674394099053
96,0.004425711275026343
85,0.0008429926238145417
18,0.011380400421496312
jain,0.00042149631190727084
oliver,0.0018967334035827187
september,0.0018967334035827187
end,0.007376185458377239
##rine,0.0023182297154899895
##abe,0.0006322444678609063
##tes,0.00505795574288725
present,0.004425711275026343
il,0.0037934668071654375
##ln,0.00042149631190727084
##ess,0.0027397260273972603
ask,0.0008429926238145417
##ed,0.00969441517386723
see,0.01243414120126449
66,0.0035827186512118023
man,0.006322444678609062
transferred,0.0018967334035827187
##ep,0.0033719704952581667
##ro,0.004214963119072709
##sa,0.002950474183350896
##ri,0.0033719704952581667
##um,0.008219178082191782
care,0.012223393045310855
##che,0.009062170706006322
##mic,0.004004214963119073
r,0.033508956796628034
foot,0.006322444678609062
series,0.0008429926238145417
illness,0.0027397260273972603
spring,0.0012644889357218126
beginning,0.0008429926238145417
##ization,0.009062170706006322
pneumonia,0.0021074815595363543
june,0.0016859852476290833
later,0.003161222339304531
developed,0.0077976817702845105
thought,0.0016859852476290833
##ple,0.0035827186512118023
##nic,0.0006322444678609063
sub,0.005690200210748156
##cap,0.0012644889357218126
##sul,0.0016859852476290833
hem,0.011380400421496312
##ato,0.0018967334035827187
##ma,0.009062170706006322
co,0.0332982086406744
##uma,0.00042149631190727084
##din,0.003161222339304531
chronic,0.005268703898840886
##rial,0.0037934668071654375
fi,0.0018967334035827187
##bri,0.0008429926238145417
##lla,0.0016859852476290833
##tion,0.011801896733403584
subsequently,0.0021074815595363543
##u,0.008219178082191782
##q,0.002528977871443625
found,0.005268703898840886
##bs,0.0077976817702845105
##cess,0.0021074815595363543
drained,0.0006322444678609063
course,0.006533192834562698
stage,0.0033719704952581667
pop,0.002950474183350896
##lite,0.0008429926238145417
##eur,0.003161222339304531
##ys,0.013277133825079031
##m,0.023603793466807167
admission,0.008429926238145417
diabetes,0.009272918861959958
treated,0.009272918861959958
##us,0.015384615384615385
insulin,0.008851422550052687
15,0.009272918861959958
units,0.004214963119072709
##time,0.0008429926238145417
regime,0.0023182297154899895
consistent,0.005479452054794521
overnight,0.0008429926238145417
drops,0.0008429926238145417
often,0.0008429926238145417
##gly,0.0012644889357218126
##ce,0.005268703898840886
levels,0.0016859852476290833
weighed,0.00042149631190727084
200,0.0012644889357218126
pounds,0.0077976817702845105
lost,0.0021074815595363543
50,0.014120126448893574
##tino,0.0012644889357218126
eye,0.0018967334035827187
exam,0.0166491043203372
recent,0.010958904109589041
know,0.005690200210748156
details,0.002528977871443625
##hr,0.0033719704952581667
##op,0.008640674394099053
##athy,0.0018967334035827187
##un,0.0037934668071654375
8,0.015384615384615385
0,0.014541622760800843
get,0.005479452054794521
peripheral,0.005690200210748156
card,0.011591148577449948
##iac,0.006743940990516333
##ware,0.00042149631190727084
4,0.024657534246575345
years,0.011169652265542677
aware,0.0016859852476290833
##rona,0.0006322444678609063
##ry,0.008429926238145417
artery,0.004214963119072709
disease,0.022128556375131718
v,0.014120126448893574
##as,0.0035827186512118023
##cular,0.0033719704952581667
##lau,0.0010537407797681772
##dication,0.0077976817702845105
preceding,0.00042149631190727084
82,0.004847207586933615
##17,0.001475237091675448
medical,0.009062170706006322
elbow,0.00042149631190727084
um,0.0010537407797681772
